Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,16/09/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Primary completion rate, total (% of relevant age group)",,,,,,,,,,,,"Government expenditure on education, total (% of GDP)",,,,,,,,,,,,"Unemployment, total (% of total labor force) (modeled ILO estimate)",,,,,,,,,,,,"Children out of school, primary, female",,,,,,,,,,,"Children out of school, primary, male",,,,,,,,,,,"Labor force, total",,,,,,,,,,,,Trained teachers in primary education (% of total teachers),,,,,,,,,,
Central African Republic,CAF,39.22779846,40.87232971,42.82416153,,,,40.8741684,54.70602036,,,,,1.117609978,1.107920051,1.980347276,2.63821435,2.220153332,1.91022861,1.754088998,1.753650188,1.565876007,1.768712282,2.166697025,,5.665999889,5.614999771,5.546000004,5.515999794,5.528999805,5.605999947,5.65199995,5.647999763,5.605000019,5.623000145,6.356999874,6.574999809,154280,162133,153356,,,,,,,,,89755,102837,98866,,,,,,,,,1759855,1763094,1762364,1761090,1763378,1772055,1796334,1827814,1865485,1907420,1933193,1996685,,,,,,,,,,,
Canada,CAN,,,,,,,,,,,,,5.356369972,5.262050152,,,,,,,,,,,8.06000042,7.510000229,7.289999962,7.070000172,6.909999847,6.909999847,7,6.340000153,5.829999924,5.659999847,9.460000038,7.510000229,,,,,,,,,,,,,,,,,,,,,,,19001081,19147395,19322866,19546552,19629145,19747709,19955331,20218237,20396646,20792599,20509919,21013127,,,,,,,,,,,
Central Europe and the Baltics,CEB,97.24108887,97.70146942,96.79386139,97.31368256,97.12010193,97.94967651,97.44618988,98.57182312,93.07649994,93.44750214,93.51818085,,4.721759796,4.561329842,4.469214916,4.500390053,4.486579895,4.809939861,4.633399963,4.075270176,4.25524497,,,,9.902025683,9.788677852,9.977129534,10.04692582,8.951026722,7.816835981,6.488349999,5.296798981,4.316407385,3.781251379,4.372692025,4.500731236,79881,81353,77233,85490,94487,101530,112861,122070,123036,116506,113572,80861,83756,78454,86847,98186,106181,119199,129979,139707,130468,127365,49040396,48784363,49070177,49144325,49437972,49360021,49215865,49579682,49464430,49399368,49086360,48913943,,,,,,,,95.99951935,96.36486816,95.77658844,95.68663788
Switzerland,CHE,96.19563293,96.65714264,97.4105072,96.85575104,95.57646179,95.77346802,96.82687378,97.15868378,96.21008301,96.36173248,,,4.765629768,4.815269947,4.8583498,4.869029999,4.877799988,4.93844986,4.926459789,4.951570034,4.863259792,,,,4.800000191,4.400000095,4.480000019,4.75,4.829999924,4.800000191,4.920000076,4.800000191,4.710000038,4.389999866,4.820000172,5.321000099,674,223,50,,,,,,,,,1603,1439,1770,,,,,,,,,4453227,4538630,4596661,4654480,4738681,4809451,4889972,4924149,4961213,4976748,4984814,4963026,,,,,,,,,,,
Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,,,,,,7.244999886,7.467000008,8.26099968,8.826999664,8.609000206,8.215000153,7.742000103,7.138000011,6.573999882,6.413000107,7.68599987,7.369999886,,,,,,,,,,,,,,,,,,,,,,,80069,80507,81122,81695,82369,83245,84258,85406,86631,87761,87828,88455,,,,,,,,,,,
Chile,CHL,,95.71444702,98.82016754,98.69904327,98.90055847,96.97695923,95.48255157,94.75356293,96.24210358,98.24701691,,,4.162089825,4.045189857,,4.529429913,4.730949879,4.875309944,5.342010021,5.419660091,5.433169842,,,,8.420000076,7.340000153,6.659999847,6.210000038,6.659999847,6.510000229,6.739999771,6.960000038,7.230000019,7.289999962,11.18000031,9.128000259,22012,26358,26979,29934,29876,28819,24200,18830,11999,6549,,20182,23093,24118,27343,26883,25567,21112,15069,7352,460,,7797414,8086638,8164043,8281662,8432818,8542744,8652497,8846878,8993608,9090403,8537487,8500843,,,,,,,,,,,
China,CHN,,,,,,,,,,,,,3.75,3.52196002,4.077429771,3.852509975,3.726639986,3.82487011,3.79362011,3.667449951,3.542490005,3.539999962,3.569999933,,4.53000021,4.550000191,4.570000172,4.590000153,4.610000134,4.630000114,4.53000021,4.440000057,4.28000021,4.519999981,5,4.816999912,,,,,,,,,,,,,,,,,,,,,,,772108526,778977720,782865417,786673270,791323527,795251107,797667977,799175185,799480075,800020955,792497551,792081113,,,,,,,,,,,
Cote d'Ivoire,CIV,,53.17802811,54.47447968,53.29364014,54.86824036,60.44213104,64.16320801,71.59989929,74.60257721,78.75084686,81.43595886,83.61065674,3.246510029,2.865760088,3.434469938,3.458600044,3.314169884,3.494159937,3.97232008,3.80347991,3.239939928,3.71638155,3.443016052,,6.835000038,7.125,7.21999979,4.25,3.700999975,3.148999929,2.599999905,3.269999981,3.292999983,3.318000078,3.487999916,3.467999935,,,,620627,577381,518393,330089,289354,197509,166688,142545,,,,516366,410588,346527,159702,141216,44066,32670,5796,6887868,7020913,7159386,7303594,7454225,7610929,7763092,7922954,8151479,8385280,8549394,8805622,,100,99.38442993,82.80793762,84.94438171,100,100,100,100,100,100
Cameroon,CMR,71.67993164,70.71424866,74.24182129,,72.77977753,74.17043304,73.39318848,68.21424103,64.47068024,65.49803925,,,2.84803009,2.653369904,2.603060007,2.655479908,2.583960056,2.657919884,2.562340021,3.059629917,3.030960083,3.080876589,3.166161299,,4.110000134,3.964999914,3.822000027,3.674999952,3.529999971,3.551000118,3.575000048,3.599999905,3.617000103,3.638000011,3.836999893,3.86500001,,276427,,,,,176603,210143,,262532,,,86808,,,,,15527,48680,,83981,,8731386,8980552,9238356,9505237,9783304,10073542,10369372,10678160,10999787,11333454,11575786,11954346,57.39352036,67.14954376,78.7775116,,,,,81.23979187,,,
"Congo, Dem. Rep.",COD,63.64162064,65.57299042,70.90409088,69.77172852,67.68039703,69.91117096,,,,,,,1.524979949,,,2.062210083,1.951429963,2.170439959,2.118690014,1.454949975,,,2.450000048,2.700000048,4.013999939,4.251999855,4.489999771,4.475999832,4.464000225,4.46600008,4.477000237,4.465000153,4.451000214,4.451000214,5.265999794,5.426000118,,,,,,,,,,,,,,,,,,,,,,,23631512,24034512,24452870,25264789,26117301,27012688,27913180,28865228,29864531,30907455,31465473,32706320,91.66748047,89.85311127,93.08434296,94.07259369,94.62352753,,,,91.99964905,,
"Congo, Rep.",COG,68.4287262,74.98303223,71.60604095,,,,,,,,,,5.686729908,,2.739230633,5.013881207,3.183710098,3.282579899,5.239999771,4.450520039,2.995480061,3.575389862,4.448618889,,20.06599998,20.18400002,20.1760006,20.31699944,20.30999947,20.4470005,20.55900002,20.55900002,20.61400032,20.62199974,22.84300041,23.01099968,49400,,23491,,,,,,67734,,,39447,,50246,,,,,,62954,,,1692836,1735808,1777719,1819718,1863400,1910047,1961279,2015938,2073695,2134000,2129699,2215521,86.77771759,79.32375336,80.31706238,,,,,,,,
Colombia,COL,116.9559937,115.3100204,109.6682205,99.79444122,99.24220276,100.0330505,101.7112503,105.9868011,106.7693863,106.7657318,103.7517471,,4.83382988,4.466080189,4.370389938,4.878550053,4.629459858,4.470389843,4.477210045,4.535510063,4.449100018,4.506219864,4.933100224,,10.97999954,10.10999966,9.739999771,9.050000191,8.569999695,8.300000191,8.68999958,8.869999886,9.109999657,9.960000038,15.03999996,14.33600044,51099,58574,98453,,,64430,76662,41597,32871,5760,9823,41290,53744,97753,,,76236,98434,58849,52922,29320,35165,22287035,22936897,23642905,23895273,24346029,24918312,25273396,25756727,26125205,26284990,24826218,25913375,100,100,100,97.28327179,98.23088074,94.02513885,94.85455322,94.72187805,,97.49478912,98.65055084
Comoros,COM,,,,74.69879913,77.67991638,,68.48216248,76.72007751,,,,,,2.830450058,2.747839928,2.382760048,2.744729996,2.545059919,,,,,,,6.690000057,7.045000076,7.410999775,7.757999897,8.140000343,8.13599968,8.102000237,8.086000443,8.079000473,8.081999779,9.222999573,9.44699955,,,,7970,8261,,,9185,11145,,,,,,5593,7084,,,8750,11522,,,175768,181875,188198,194726,201455,206665,211843,217152,222586,228115,228922,235977,,55.15353012,,,,,74.87548065,71.90551758,,,
Cabo Verde,CPV,101.1008224,96.2914505,97.75907898,92.35906219,94.72225189,95.21536255,91.0370636,87.40142059,87.29020691,99.99017334,,,5.567289829,5.043610096,,5.001440048,4.963870049,5.266910076,5.288790226,5.181749821,5.368846893,4.733459949,7.584794998,,10.67000008,10.88300037,11.12100029,11.34799957,11.57499981,11.80000019,12.00800037,12.23999977,12.17000008,12.21899986,15.30599976,15.42300034,1937,2452,2288,2340,2348,2269,2505,2406,2238,2522,,1418,1688,1608,1909,1848,1841,1915,1900,1735,2270,,195560,199978,204123,208080,212043,216075,220104,224342,214658,225349,211873,220755,90.02990723,92.09287262,94.58728027,,96.02024078,,93.25543213,93.43501282,98.55406189,98.90074158,
Costa Rica,CRI,99.32607269,104.3604507,102.4104004,98.64965057,98.42607117,99.58660126,97.32090759,96.77837372,98.59436798,102.7380524,104.5921402,,6.565740108,6.379889965,6.582399845,6.687399864,6.67952013,6.87349987,6.893959999,7.069809914,6.769919872,6.7958498,6.710669994,,7.170000076,10.14000034,9.779999733,8.770000458,9.06000042,9,8.600000381,8.140000343,9.630000114,11.48999977,17.40999985,17.95400047,,,,767,4940,4147,2970,6898,,,,,,,1311,5034,3858,3219,6948,,,,2051461,2077942,2245872,2261015,2308993,2295745,2212664,2259645,2369041,2482184,2368243,2418247,89.48325348,91.44802094,,93.97543335,93.98059082,93.90881348,93.75582123,93.52646637,94.36399078,94.52715302,94.26821136
Caribbean small states,CSS,91.11234283,91.94960022,92.44611359,92.03881836,,,,,,,,,6.370600224,5.281330109,5.331145048,5.6849401,5.673900127,4.421209216,4.63426137,4.417833447,4.358923793,4.430865765,4.860617638,6.027470112,10.31430331,10.49488698,11.11731945,11.65641295,10.84522543,10.55252863,10.60604821,9.763381883,8.709369595,8.01764027,9.827410438,9.763520279,28212,26944,,,,,,,,,,30361,29451,,,,,,,,,,3006824,3038228,3087947,3145544,3183514,3214522,3282141,3317698,3324473,3363622,3230210,3309538,75.30094147,76.78000641,77.35427856,76.19258881,84.85536194,85.16436768,85.63699341,85.08270264,86.58753204,86.00415039,86.06929016
Cuba,CUB,94.98464966,95.78063202,94.92070007,93.86077118,98.09442902,97.07624054,92.8256073,89.52381897,84.13140869,86.53215027,95.30088043,,12.83730984,,,,,,,,,,,,2.5,3.180000067,3.460000038,3.289999962,2.700000048,2.400000095,2,1.700000048,1.700000048,1.735000014,2.624000072,2.756000042,4931,5982,8010,8098,17890,21934,19937,15874,8272,3304,,2076,4282,7952,7601,19728,22410,20439,15641,7408,2399,,5078837,5152741,5185962,5219536,5246243,5282677,5295539,5314631,5334777,5345330,5099652,5166807,100,100,100,100,100,100,100,100,100,100,100
Curacao,CUW,,,,,,,,,,,,,,,,4.930950165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485,,,,,,,,,,,420,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,,101.6616287,100,92.63455963,,,,,89.55223846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191,206,253,,,,,273,,,,291,293,345,,,,,238,,,,,,,,,,,,,,,,94.84848022,97.02970123,88.11881256,,,,,100,,100
Cyprus,CYP,99.31649017,101.7331009,100.0641403,98.3320694,99.82537842,96.81906128,98.46739197,101.2697296,101.8767014,102.5455017,,,6.54279995,6.538539886,,6.483779907,6.440499783,6.326129913,6.145410061,5.718530178,,,,,6.260000229,7.860000134,11.80000019,15.86999989,16.09000015,14.90999985,12.94999981,11.05000019,8.369999886,7.070000172,7.590000153,6.130000114,,,349,410,478,332,423,320,229,,,,,361,563,739,426,538,434,100,,,587534,590673,594715,599510,609418,600993,595904,604631,617517,628547,631523,636463,,,,,,,,,,,
Czech Republic,CZE,106.4567795,103.75914,100.9904404,99.76103973,98.16072083,96.07079315,97.06746674,97.84403992,98.54006195,101.4376526,,,4.033500195,4.242090225,4.220709801,4.046760082,3.965229988,5.751820087,5.553730011,3.806159973,4.26692009,,,,7.28000021,6.710000038,6.980000019,6.949999809,6.110000134,5.050000191,3.950000048,2.890000105,2.24000001,2.00999999,2.549999952,2.887000084,,1933,815,2005,1209,,,,,1393,,,1286,1261,3043,2302,,,,,3607,,5249490,5235777,5268185,5316855,5312842,5319342,5368589,5398388,5434099,5430539,5388485,5377683,,,,,,,,,,,
Germany,DEU,102.0153503,101.5668793,98.65313721,98.39868927,97.28270721,98.91829681,97.93720245,98.80513763,100.8433228,99.01779938,,,4.94367981,4.82487011,4.956580162,4.935389996,4.921020031,4.855150223,4.839230061,4.871829987,4.975769997,,,,6.96999979,5.820000172,5.380000114,5.230000019,4.980000019,4.619999886,4.119999886,3.75,3.380000114,3.140000105,3.809999943,3.535000086,35532,36126,45040,48415,41954,21244,2469,,,4294,,34548,35399,50194,54475,50187,31346,12033,,,24551,,41963382,41720726,41825064,42181439,42438398,42654597,43551192,43789062,43884544,44351163,44078049,43848015,,,,,,,,,,,
Djibouti,DJI,,50.78261948,,50.69831085,59.97706985,65.59613037,67.35250854,62.97631836,66.38028717,65.57845306,63.03197098,64.81249237,4.49022007,,,,,3.590240002,3.924390078,3.748559952,3.627739906,,,,27.05800056,26.88800049,26.77799988,26.63800049,26.47500038,26.32500076,26.19300079,26.05999947,26.18899918,26.35700035,28.38999939,28.38599968,,16202,,15875,12505,14802,16101,15192,15144,13985,15408,,21661,,21663,16916,20451,21832,20384,18804,16105,15489,186579,190248,194026,197872,201785,205750,209457,213318,217227,221057,220818,224866,,100,,96.00431824,,100,,,100,,
Dominica,DMA,77.03926849,86.68261719,97.30413055,96.42537689,100.8571396,105.9535828,113.9266968,,,,,,,,,,,3.408580065,5.129720211,4.766749859,5.571549892,5.576189995,4.69630003,,,,,,,,,,,,,,,,,,,,,,,98,23,,,,,,,,,,130,31,,,,,,,,,,,,,60.82677078,57.72993851,60.65890884,65.21739197,64.81481171,64.49813843,65.7142868,,,62.85713959,57.5
Denmark,DNK,99.11992645,99.62966919,98.25849152,99.27841187,98.77497864,98.73802948,103.8826904,103.7763977,101.0366287,101.8970795,,,8.559550285,8.48486042,7.237820148,8.494429588,7.634850025,,,7.752439976,6.792779922,,,,7.75,7.769999981,7.800000191,7.380000114,6.929999828,6.28000021,5.989999771,5.829999924,5.130000114,5.019999981,5.639999866,4.797999859,2104,1835,1071,577,860,94,,,519,961,,2771,2347,1558,595,1455,181,,,2294,2191,,2890450,2886698,2872008,2852590,2868343,2898109,2945216,2971347,2992152,3031682,3027786,3046567,,,,,,,,,,,
Dominican Republic,DOM,92.69573975,93.07073975,93.52136993,94.2355423,95.26004791,99.52607727,99.15802765,95.32808685,93.1275177,93.30409241,96.31630707,,,,2.49751997,3.480540037,3.963769913,3.816240072,3.850500107,3.920269966,3.928489923,4.042769909,4.618702412,,5.210000038,6.090000153,6.71999979,7.349999905,6.71999979,7.610000134,7.28000021,5.829999924,5.860000134,6.360000134,6.130000114,8.49600029,42798,34746,41041,40239,49582,28587,26180,29807,31319,20009,20340,11507,21313,29454,32802,44199,23802,27258,31967,34506,25795,27230,3815112,3983751,4141884,4200334,4287762,4537662,4640591,4704626,4880941,5060916,4750336,4965860,84.8571167,84.84960175,85.05393982,81.26602936,81.26631927,87.30252075,87.30123901,94.86077118,94.85418701,94.85614014,94.85740662
Algeria,DZA,95.61699677,97.63629913,101.5528793,106.0316772,108.3915787,105.5467224,105.5900497,105.6367111,105.143959,101.3646317,103.6635284,,,,,,,,7.344359875,6.505380154,5.866350174,6.100359917,,,9.960000038,9.960000038,10.97000027,9.819999695,10.21000004,11.21000004,10.19999981,10.33300018,10.42000008,10.51299953,12.55000019,12.70400047,,,,,,,,,,,,,,,,,,,,,,,10912087,10675639,11356926,11876807,11489980,11813561,12032169,12184474,12330675,12500369,12102616,12398078,,,,,100,100,,,,,
East Asia & Pacific (excluding high income),EAP,96.05261993,94.94599915,95.39246368,94.97205353,92.35978699,91.13127899,93.70742798,95.91773224,98.11186981,98.20844269,97.51058197,,3.508440018,4.065494895,4.307069778,3.852509975,3.505784988,3.792270064,3.715570092,3.511590004,3.09493506,3.234369993,,,4.145063186,4.098280451,4.033265057,4.037054369,4.028182374,4.102538479,4.016764391,3.909936668,3.792054989,3.895325855,4.388072757,4.292073532,2905178,2491703,2734098,2770466,2837994,2914509,3103070,2959552,2979366,3123923,3096263,3242783,3325793,2941935,3216874,3007945,2846112,2769539,2603476,2541353,2662568,2637559,1081819512,1096123880,1105303461,1111687573,1121246821,1129222303,1134446823,1138478244,1145232069,1150699608,1140340327,1144837608,,,,,,,,,,,
Early-demographic dividend,EAR,89.37818909,89.31060791,90.96309662,91.67633057,92.8650589,92.8771286,92.51307678,92.17984009,91.91623688,92.05967712,93.42627716,,3.709180117,3.870579958,3.606220007,3.844670057,4.14103508,3.969330072,4.081140041,4.331574917,4.254220009,3.741580009,,,5.692678942,5.587833181,5.560118528,5.63669856,5.583522177,5.728936011,5.745712187,5.645611539,5.636733013,5.530104742,7.122093431,6.487029514,11169028,10661908,10490683,9635111,11599541,12084784,11916377,11726865,12223649,11657163,11438387,12552132,13404868,11824072,10529902,11705159,12016729,11337713,11340633,10696217,10340188,11091702,1125698157,1139993595,1155889519,1172804282,1187829281,1205974534,1222832762,1239823170,1257323686,1281285044,1236941815,1278999306,,,84.61849976,81.67608643,81.68240356,80.63884735,76.55683899,78.28665161,80.86504364,79.0745697,79.87799835
East Asia & Pacific,EAS,96.34365082,95.35482025,95.89298248,95.39246368,92.85112762,91.78582001,94.13874817,96.02176666,98.12773132,98.36659241,97.71708679,,3.510030031,3.605279922,4.077429771,3.806414962,3.572550058,3.792270064,3.715570092,3.511590004,3.229809999,3.234369993,,,4.207447792,4.115552378,4.042608422,4.027802692,4.006009387,4.071107518,3.979131598,3.86379502,3.733398635,3.821003126,4.315501688,4.201007538,2973557,2573188,2833513,2887810,2949518,2990473,3193902,3067973,3076328,3203703,3176263,3334043,3436527,3078940,3364001,3144912,2942901,2881800,2730678,2651122,2755500,2730572,1206278791,1221032468,1230781789,1238277707,1249124549,1258244017,1264553065,1269899955,1278356835,1285132163,1274162028,1278273757,,,,,,,,,,,
Europe & Central Asia (excluding high income),ECA,97.93582916,99.15306091,98.26341248,98.54701233,98.04390717,98.76274109,96.65757751,97.25482941,97.96315002,99.70594025,99.54004669,,4.006750107,3.935110092,3.901690006,3.911029935,3.970429897,3.834029913,3.962090015,4.382590055,4.678199768,3.916650057,,,8.505774783,7.834945038,7.217367405,7.232729487,7.469311345,7.593583806,7.600361317,7.380795152,7.080394807,7.264705923,7.943589587,7.755382069,377143,369787,383792,334064,357441,327540,335062,328591,344459,351590,424530,357602,349488,365977,315955,367532,350182,359799,347159,366032,384573,468824,175029212,176739346,177304624,178254187,179278026,180399216,181521458,182417235,183144919,182876103,178746376,179138471,96.38986969,95.74333954,94.32296753,94.96707153,94.38279724,94.11836243,94.07138062,93.87020874,93.77300262,93.26796722,
Europe & Central Asia,ECS,97.86087799,98.45120239,97.82266235,97.97432709,97.65010071,98.42202759,97.16011047,97.69724274,97.610672,98.49478149,98.43028259,,5.141530037,4.955705166,4.793789864,4.970620155,4.899760008,4.885540009,4.839230061,4.780539989,4.678199768,,,,9.016528211,8.75663802,8.963787202,9.197377764,8.957477638,8.557061541,8.083306025,7.475092419,6.896505402,6.670357275,7.183367675,7.115892129,584263,554373,551209,480265,528681,469530,461623,471381,502752,513874,585314,554943,532861,555296,482884,564033,514891,514602,514375,558372,588993,671899,422660603,424308297,426647935,428514725,430648635,432518181,435374515,437511484,439215734,439897211,433595912,435245632,,,,,,,,92.55410767,89.17984009,86.84919739,
Ecuador,ECU,103.1958313,106.9734573,108.2071304,108.6961594,112.2291412,106.4048386,103.5557404,105.4158478,104.4336777,101.4974976,100.6137466,,4.507430077,4.726890087,4.643070221,5.004640102,5.260990143,4.998700142,4.362750053,4.614260197,4.621459961,4.225659847,4.134130001,,4.090000153,3.460000038,3.230000019,3.079999924,3.480000019,3.619999886,4.599999905,3.839999914,3.529999971,3.809999943,6.110000134,6.427000046,,,,,,,,,,,,,,,,,,,,,,,6488680,6533045,6743271,6863959,7050017,7551558,7955978,8194875,8196417,8312171,7697701,8447356,,,,,,,,,,,88.39057922
"Egypt, Arab Rep.",EGY,96.02799225,,,100.5301437,,,96.90644836,97.18955231,100.6852112,104.6092987,,,3.542649984,3.344300032,3.368299961,4.122529984,4.25138998,3.930850029,4.050000191,,,2.609999895,2.480000019,,8.760000229,11.85000038,12.60000038,13.14999962,13.10000038,13.05000019,12.40999985,11.73999977,9.819999695,7.840000153,9.166999817,9.329000473,,,34210,,,,,,,,,,,59251,,,,,,,,,27557027,27814540,28199906,28717575,29084186,28961629,29254321,28747249,28245855,28036701,27870211,28462356,,,,,,,74.06877899,,82.71549988,84.64174652,
Euro area,EMU,97.34828186,97.18054199,96.51537323,96.28681183,96.21463013,96.98338318,96.16420746,96.41973877,96.45072174,96.02469635,96.04633331,,5.489089966,5.123330116,4.956580162,5.342050076,5.124000072,4.897535086,4.815949917,4.871829987,4.805515051,,,,10.0729616,10.11144178,11.29112184,11.92794774,11.60243069,10.84054939,10.01017637,9.047383527,8.170314497,7.534794773,7.826163614,7.764623505,105515,84218,82579,90803,121112,98459,78392,92810,107062,106524,105075,90550,76361,98433,111777,142989,118133,106607,119017,134294,143325,142112,161714380,161383170,162472360,162893044,163246803,163577330,164861820,165521051,166159867,166814303,164917404,166191429,,,,,,,,,,,
Eritrea,ERI,76.33065033,73.28090668,66.08583832,61.0422287,,62.84111023,,64.18666077,60.27051163,,,,,,,,,,,,,,,,5.494999886,5.520999908,5.53000021,5.579999924,5.672999859,5.828000069,5.90199995,5.94299984,5.947000027,5.993999958,7.864999771,8.046999931,64524,64243,64577,78569,87020,98115,,122508,124564,,,53274,50344,49017,66332,75309,88279,,115702,117424,,,1525360,1530962,1534245,1536446,1538991,1543416,1564588,1584008,1605095,1632029,1569813,1641270,93.81552887,90.97870636,89.55425262,79.86174774,70.68701935,,,,84.4594574,,
Spain,ESP,96.78925323,96.15329742,99.32010651,99.21613312,100.1018982,103.3596802,101.2097321,100.5725479,98.52601624,97.44148254,,,4.856080055,4.896920204,4.469339848,4.351019859,4.303380013,4.286570072,4.227640152,4.207779884,4.181570053,,,,19.86000061,21.38999939,24.79000092,26.09000015,24.44000053,22.05999947,19.62999916,17.21999931,15.25,14.10000038,15.52999973,14.7329998,,,,,,,8845,31428,40830,37080,,,,,,,,18911,43541,50956,46003,,23657167,23726989,23761805,23539701,23308362,23250566,23185921,23094352,23129730,23320938,22992127,23307968,100,100,100,100,100,100,100,100,100,100,
Estonia,EST,100.6342773,101.4313278,103.8179398,104.3208313,100.0924301,98.76663971,96.44262695,97.23143768,96.69463348,97.43179321,,,5.517789841,5.014490128,4.717720032,4.843880177,4.394330025,5.144189835,5.15763998,4.961319923,5.26320982,,,,16.70999908,12.32999992,10.02000046,8.630000114,7.349999905,6.190000057,6.760000229,5.760000229,5.369999886,4.449999809,6.800000191,6.330999851,,,,566,856,927,1009,946,886,936,,,,,381,742,1085,1235,1196,1060,1345,,683638,688880,685016,681349,675660,685323,693798,702603,705462,705504,706382,703642,,,,,,,,,,,
Ethiopia,ETH,57.70273972,52.54763031,50.30796814,53.32957077,53.38832855,54.11090088,61.57915115,63.68955994,,67.74021149,68.08428955,,4.496590137,5.485760212,5.56678009,4.498549938,4.602019787,4.737919807,5.061510086,5.64951992,5.06867981,,,,2.338999987,2.312000036,2.286999941,2.25,2.262000084,2.273999929,2.288000107,2.299000025,2.318000078,2.325999975,3.236999989,3.694000006,2023872,1793161,1697298,,1313512,1394680,,,,,1424020,1788036,1500656,1415709,,880532,911879,,,,,763550,39350692,40809845,42342365,43937092,45575209,47245852,48872202,50540486,52237702,53950175,53546648,55899088,,,,,,,,,,,
European Union,EUU,97.92282867,98.03130341,97.41693878,97.36602783,97.2360611,97.98119354,97.34049225,97.63845062,96.60308075,96.53427124,96.56596375,,5.297860146,5.071619987,4.889479876,4.970620155,4.935540199,4.885540009,4.792669773,4.614099979,4.622829914,,,,9.803138117,9.840611672,10.81102844,11.33171215,10.851028,10.03105446,9.117230558,8.1358044,7.266660274,6.69189042,7.046586952,7.043014298,216933,197248,187697,179286,212144,193221,192393,221741,244133,249453,245235,202418,191751,205191,196469,235946,215967,222325,248441,281774,295409,291210,211608360,211140528,212522474,213089927,213794269,214110183,215341051,216459637,217058455,217762626,215603810,216787964,,,,,,,,,,,
Fragile and conflict affected situations,FCS,68.69844055,68.5773468,69.18032074,68.40648651,68.93743134,69.31268311,69.94764709,70.26101685,70.68862152,70.81741333,71.29566956,,3.343889952,3.462009907,3.399744987,3.571994901,3.41595006,3.282579899,3.02660501,3.216470003,3.328534961,,,,5.453261847,5.470661087,5.49057064,5.516491312,5.807681895,5.780357122,6.296689712,6.635215026,6.553003529,6.523515592,7.401838707,7.644501553,17319320,16657970,16444560,16528126,16788744,17623300,17815016,18160994,17846784,18530340,18819888,12703727,12023149,12083299,11973452,12444541,13070009,13316364,13463678,13131735,13993940,14310089,284112796,290576039,294630600,299671915,306676442,314135060,320724403,327051845,334720044,341382372,340306658,350497639,77.15471649,72.60475922,75.58126068,70.14888,71.05573273,71.98197174,71.27886963,71.12001801,71.25380707,70.24346924,
Finland,FIN,98.62905121,98.20484161,100.0309677,99.63838196,98.88854218,99.03192139,100.8849716,101.4983215,100.3738098,100.9760818,,,6.504449844,6.445049763,7.148039818,7.124040127,7.102369785,7.032080173,6.851530075,6.363110065,6.275420189,,,,8.390000343,7.78000021,7.690000057,8.18999958,8.659999847,9.380000114,8.819999695,8.640000343,7.360000134,6.690000057,7.760000229,7.525000095,2531,2169,1295,1219,437,1074,1186,1900,2086,2820,,2400,1846,901,1188,919,1118,1426,2287,2799,4141,,2684521,2695888,2702445,2687746,2690267,2700148,2694717,2716173,2749120,2755452,2746237,2812583,,,,,,,,,,,
Fiji,FJI,,104.667778,106.2605286,106.7346725,,111.6333008,107.0184174,,,108.8697662,105.2678299,,4.824359894,4.17305994,4.722650051,3.882889986,4.268219948,4.809319973,4.83589983,4.651189804,4.835710049,5.067880154,,,4.309999943,4.409999847,4.420000076,4.327000141,4.289999962,4.295000076,4.320000172,4.277999878,4.333000183,4.447999954,4.715000153,5.238999844,,,,33,,598,,,,,,,,,811,,302,,,,,,378666,386372,378188,368980,359423,354870,352912,354659,357346,361022,361639,363460,,100,100,,,,,,,92.27178192,87.55235291
France,FRA,,,,,,,,,,,,,,,,,,,,5.451600075,5.407169819,,,,8.869999886,8.81000042,9.399999619,9.920000076,10.28999996,10.35000038,10.05000019,9.409999847,9.020000458,8.409999847,8.010000229,8.062999725,25808,1185,249,6008,23727,8912,523,,,,,25514,8639,14744,17614,32595,12578,6482,,,,,29956981,29965384,30223508,30370293,30352088,30433066,30449775,30490320,30620365,30551690,30255910,30972593,,,,,,,,,,,
Faroe Islands,FRO,,,,,,,,,,,,,,,,,,7.714783192,7.582578659,8.044589996,8.781398773,7.640104771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,,,,93.42160034,95.54247284,94.63829803,91.05622101,86.59313202,90.6474762,88.45343018,,,,,,,,12.40791988,13.51266003,12.41641998,9.697050095,,,,,,,,,,,,,,,,,,,,624,992,767,,,792,1114,,,,,684,1067,673,,,682,1259,,,,,,,,,,,,,,,,,,,100,,,,
