Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,16/09/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Primary completion rate, total (% of relevant age group)",,,,,,,,,,,,"Government expenditure on education, total (% of GDP)",,,,,,,,,,,,"Unemployment, total (% of total labor force) (modeled ILO estimate)",,,,,,,,,,,,"Children out of school, primary, female",,,,,,,,,,,"Children out of school, primary, male",,,,,,,,,,,"Labor force, total",,,,,,,,,,,,Trained teachers in primary education (% of total teachers),,,,,,,,,,
Argentina,ARG,103.5674133,103.8877106,103.3522491,101.6450119,103.1064377,102.9737396,103.8935699,99.96276093,98.70625305,98.54724121,,,5.019710064,5.290629864,5.345829964,5.436610222,5.361440182,5.776110172,5.545489788,5.454319954,4.877739906,4.724170208,,,7.710000038,7.179999828,7.21999979,7.099999905,7.269999981,7.520999908,8.111000061,8.350000381,9.220000267,9.840000153,11.46000004,10.90200043,,,,,,,,,,,,,,,,,,,,,,,18158593,18563047,18728448,18849614,18928695,19106351,19274835,19446034,19952439,20429749,19208592,20952574,,,,,,,,,,,
Armenia,ARM,94.49523163,93.80896759,93.8516922,,96.65222931,94.59063721,90.7516098,91.98770905,89.87895966,93.13851929,93.16529083,,3.249000072,3.143850088,2.772480011,2.650180101,2.247240067,2.80591011,2.75812006,2.707590103,2.255870104,2.561850071,2.705670118,,19.01000023,18.44000053,17.29999924,16.18000031,17.5,18.26000023,17.62000084,17.70000076,18.96999931,18.29999924,21.20599937,20.89699936,,2718,2023,2029,3779,3105,4102,4628,5376,6952,8263,,4010,3000,2845,4862,4674,5358,5333,6050,7976,9526,1304215,1335948,1344874,1355000,1342620,1329447,1304794,1298421,1245611,1267732,1202591,1220481,,,,,,,,,,73.62438965,75.11778259
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,106.6099472,103.6769485,,108.1081085,111.150322,92.55548096,93.58789825,98.18578339,96.19882965,,,,,,,,,,2.430804491,2.448477507,2.644075632,2.831335068,3.453125,3.836245775,,,,,,,,,,,,,,,203,,257,25,,62,,,,,,228,,277,92,,173,,,,,,,,,,,,,,,,54.75233841,64.83956909,60.1324501,,70.16806793,65.29161072,60.97240067,55.15151978,52.81863022,,
Australia,AUS,,,,,,,,,,,,,5.543039799,5.069950104,4.867879868,5.229239941,5.164690018,5.315839767,5.286230087,5.136809826,5.123449802,,,,5.210000038,5.079999924,5.21999979,5.659999847,6.079999924,6.050000191,5.710000038,5.590000153,5.300000191,5.159999847,6.460000038,5.111999989,,17865,15723,,,,,3169,5119,7676,16952,,27006,23852,,,,,3862,4495,7866,16412,11664656,11832782,11998883,12177653,12320637,12556562,12718524,12976329,13249617,13504175,13484888,13652706,,,,,,,,,,,
Austria,AUT,,96.77201843,96.69371796,97.60601044,98.69184875,100.3737869,99.65672302,99.45317841,99.81300354,99.40850067,,,5.700479984,5.592269897,5.480400085,5.547110081,5.447619915,5.456580162,5.47961998,5.371590137,5.224520206,,,,4.820000172,4.559999943,4.869999886,5.329999924,5.619999886,5.71999979,6.010000229,5.5,4.849999905,4.489999771,5.360000134,6.301000118,4020,4632,2802,1822,985,521,186,,,,,3621,4719,2621,1496,1117,991,477,,,,,4308084,4338951,4386197,4429550,4451602,4506852,4589908,4619411,4649702,4666182,4637815,4656451,,,,,,,,,,,
Azerbaijan,AZE,89.51445007,92.80683136,91.99118805,88.08940887,98.12570953,103.2802124,111.3019104,107.1721725,100.2199478,100.3833389,99.51779938,,2.780620098,2.435640097,2.067630053,2.442130089,2.633039951,2.951679945,2.903409958,2.473819971,2.455430031,2.681080103,,,5.630000114,5.420000076,5.190000057,4.96999979,4.909999847,4.960000038,5,5,4.900000095,4.849999905,6.462999821,6.583000183,31744,26499,20869,8359,,,,3367,12040,21341,27105,32323,23500,17642,185,,,,8799,12763,34346,44017,4528109,4572791,4627324,4702401,4791071,4876104,4969576,5033710,5091128,5103475,4846887,4955924,99.97936249,99.98844147,99.99272156,99.56842041,99.35140991,99.27993774,,98.03781891,99.52143097,99.83148956,99.86055756
Burundi,BDI,51.54841995,56.37577057,62.99792099,70.719841,69.56655884,64.53968048,67.67450714,68.37870026,63.02138901,59.37641907,,52.94527054,6.775249958,6.319250107,6.167860031,5.995359898,6.784520149,6.370540142,4.691999912,4.762020111,5.078649998,5.346684456,5.040983677,,1.60800004,1.601999998,1.590000033,1.577999949,1.570000052,1.600000024,1.590000033,1.588999987,1.587000012,1.588999987,1.707000017,1.792000055,22811,,,,,,,23181,44430,55313,,37007,,,,,,,51105,69832,85660,,3842129,3943624,4042457,4140069,4239621,4370030,4508039,4654229,4808244,4969385,5089758,5266036,,94.1818924,94.98715973,,92.15133667,100,100,100,100,100,
Belgium,BEL,,,,,,,,,,,,,6.442590237,6.431990147,,6.630529881,6.590469837,6.451570034,6.461730003,6.425340176,6.381370068,,,,8.289999962,7.139999866,7.539999962,8.430000305,8.520000458,8.479999542,7.829999924,7.090000153,5.949999809,5.360000134,5.550000191,6.420000076,5554,4954,4281,4458,5247,4338,3382,1098,1278,1819,,5913,5491,4210,4429,4559,3065,2069,1066,2853,5341,,4896640,4878828,4912649,4963617,4979700,4988278,4994033,5081005,5136194,5182914,5155729,5220875,,,,,,,,,,,
Benin,BEN,66.71160889,71.6880188,73.04107666,78.60559845,79.45439911,81.14032745,80.74555969,,,64.43959808,62.42148972,,3.679970026,4.397880077,3.562020063,3.327510118,3.161789894,3.17298007,2.899100065,3.535589933,2.931619883,2.965199947,3.003662109,,1.039999962,2.650000095,2.470999956,2.286999941,2.132999897,2.006999969,1.827999949,1.644000053,1.470000029,1.470000029,1.583999991,1.574000001,,,,,,,,,,88277,90707,,,,,,,,,,32693,37876,3712416,3825604,3942161,4063769,4189856,4320200,4451938,4588876,4730774,4877483,4985420,5147879,42.63103104,46.8895607,,,67.59375,69.09716797,70.41661072,68.26634979,70.42546082,71.22289276,76.99729919
Burkina Faso,BFA,47.05522156,53.66107178,57.36603165,62.34405136,60.84949875,62.02980042,61.72433853,63.51921844,65.47892761,64.54945374,64.88916779,,3.502229929,3.985150099,3.603159904,4.083439827,4.053299904,3.67008996,,5.628469944,5.488609791,5.696845055,5.519075871,,3.644999981,3.785000086,3.913000107,4.046999931,4.188000202,4.321000099,4.434000015,4.563000202,4.690000057,4.69299984,4.894999981,4.757999897,544728,492485,487194,481710,479159,468549,390999,381641,353506,377174,421950,497967,453395,458469,463149,458752,448778,370444,364976,335760,371101,435271,5813865,5918602,6028928,6142819,6258435,6464546,6674993,6892699,7118594,7354219,7534642,7797030,,,94.83248138,85.58638763,84.3585968,85.42001343,73.19373322,85.83756256,87.57572937,88.59324646,89.45179749
